country,latitude,longitude
Afghanistan,33,65
Albania,41,20
Algeria,28,3
American Samoa,-14.3333,-170
Andorra,42.5,1.5
Angola,-12.5,18.5
Anguilla,18.25,-63.1667
Antigua and Barbuda,17.05,-61.8
Argentina,-34,-64
Armenia,40,45
Aruba,12.5,-69.9667
Australia,-27,133
Austria,47.3333,13.3333
Azerbaijan,40.5,47.5
Bahrain,26,50.55
Bangladesh,24,90
Barbados,13.1667,-59.5333
Belarus,53,28
Belgium,50.8333,4
Belize,17.25,-88.75
Benin,9.5,2.25
Bermuda,32.3333,-64.75
Bhutan,27.5,90.5
Bosnia and Herzegovina,44,18
Botswana,-22,24
Brazil,-10,-55
Brunei Darussalam,4.5,114.6667
Bulgaria,43,25
Burkina Faso,13,-2
Burundi,-3.5,30
Cambodia,13,105
Cameroon,6,12
Canada,60,-95
Chad,15,19
Chile,-30,-71
China,35,105
Colombia,4,-72
Costa Rica,10,-84
Cote d'Ivoire,8,-5
Croatia,45.1667,15.5
Cuba,21.5,-80
Cyprus,35,33
Denmark,56,10
Djibouti,11.5,43
Dominica,15.4167,-61.3333
Ecuador,-2,-77.5
El Salvador,13.8333,-88.9167
Equatorial Guinea,2,10
Eritrea,15,39
Estonia,59,26
Ethiopia,8,38
Fiji,-18,175
Finland,64,26
France,46,2
French Guiana,4,-53
French Polynesia,-15,-140
Gabon,-1,11.75
Georgia,42,43.5
Germany,51,9
Ghana,8,-2
Gibraltar,36.1833,-5.3667
Greece,39,22
Greenland,72,-40
Grenada,12.1167,-61.6667
Guadeloupe,16.25,-61.5833
Guam,13.4667,144.7833
Guatemala,15.5,-90.25
Guinea,11,-10
Guinea-Bissau,12,-15
Guyana,5,-59
Haiti,19,-72.4167
Honduras,15,-86.5
Hungary,47,20
Iceland,65,-18
India,20,77
Indonesia,-5,120
Iraq,33,44
Ireland,53,-8
Israel,31.5,34.75
Italy,42.8333,12.8333
Jamaica,18.25,-77.5
Japan,36,138
Jordan,31,36
Kazakhstan,48,68
Kenya,1,38
Kiribati,1.4167,173
Kuwait,29.3375,47.6581
Latvia,57,25
Lebanon,33.8333,35.8333
Lesotho,-29.5,28.5
Liberia,6.5,-9.5
Libya,25,17
Liechtenstein,47.1667,9.5333
Lithuania,56,24
Luxembourg,49.75,6.1667
Madagascar,-20,47
Malawi,-13.5,34
Malaysia,2.5,112.5
Maldives,3.25,73
Mali,17,-4
Malta,35.8333,14.5833
Martinique,14.6667,-61
Mauritania,20,-12
Mauritius,-20.2833,57.55
Mayotte,-12.8333,45.1667
Mexico,23,-102
Monaco,43.7333,7.4
Mongolia,46,105
Montenegro,42,19
Montserrat,16.75,-62.2
Morocco,32,-5
Mozambique,-18.25,35
Myanmar,22,98
Namibia,-22,17
Nepal,28,84
New Caledonia,-21.5,165.5
New Zealand,-41,174
Nicaragua,13,-85
Nigeria,10,8
Niue,-19.0333,-169.8667
Norfolk Island,-29.0333,167.95
Norway,62,10
Oman,21,57
Pakistan,30,70
Palau,7.5,134.5
Panama,9,-80
Papua New Guinea,-6,147
Paraguay,-23,-58
Peru,-10,-76
Poland,52,20
Portugal,39.5,-8
Puerto Rico,18.25,-66.5
Qatar,25.5,51.25
Romania,46,25
Rwanda,-2,30
Saint Helena,SHN,-15.9333
Saint Pierre and Miquelon,46.8333,-56.3333
Samoa,-13.5833,-172.3333
San Marino,43.7667,12.4167
Sao Tome and Principe,1,7
Saudi Arabia,25,45
Senegal,14,-14
Serbia,44,21
Seychelles,-4.5833,55.6667
Sierra Leone,8.5,-11.5
Singapore,1.3667,103.8
Slovenia,46,15
Solomon Islands,-8,159
Somalia,10,49
South Africa,-29,24
Spain,40,-4
Sri Lanka,7,81
Suriname,4,-56
Swaziland,-26.5,31.5
Sweden,62,15
Switzerland,47,8
Syrian Arab Republic,35,38
Tajikistan,39,71
Tanzania,TZA,-6
Thailand,15,100
Togo,8,1.1667
Tokelau,-9,-172
Tonga,-20,-175
Trinidad and Tobago,11,-61
Tunisia,34,9
Turkey,39,35
Turkmenistan,40,60
Tuvalu,-8,178
Uganda,1,32
Ukraine,49,32
Uruguay,-33,-56
Uzbekistan,41,64
Vanuatu,-16,167
Virgin Islands (U.S.),18.3333,-64.8333
Wallis and Futuna,-13.3,-176.2
Zambia,-15,30
Zimbabwe,-20,30
